TeamName,Wins,GamesPlayed,Runs,Hits,Doubles,Triples,Homeruns,RunsBattedIn,QualityStarts,Walks,StrikeoutsBatting,StolenBases,BattingAverage,OnBasePercentage,Slugging,EarnedRunsAverage,Saves,Holds,Shutouts,HitsAllowed,HomerunsAllowed,WalksAllowed,StrikeoutsPitching,FieldingPercent,AverageRank
Los Angeles Dodgers,111,162,1,5,2,3,5,1,9,2,15,9,4,1,2,1,12,26,8,1,6,2,5,10,5.91
Houston Astros,106,162,8,13,7,25,4,8,1,9,2,16,12,7,5,2,2,30,2,2,2,10,4,7,8.09
Atlanta Braves,101,162,3,8,4,28,2,4,8,19,29,15,9,10,1,5,1,25,20,4,4,15,2,6,10.09
New York Mets,101,162,5,4,13,9,15,6,7,11,3,23,2,2,8,7,15,23,1,10,12,4,1,2,8.32
New York Yankees,99,162,2,16,27,30,1,2,10,1,18,8,15,5,4,3,7,27,5,3,7,8,6,8,9.68
St. Louis Cardinals,93,162,6,10,6,13,9,5,15,7,5,11,10,4,7,10,22,21,29,16,3,14,30,1,11.55
Cleveland Guardians,92,162,15,6,11,4,29,17,5,24,1,3,6,12,21,6,4,28,22,7,15,5,14,21,12.55
Toronto Blue Jays,92,162,4,1,3,27,7,3,6,13,6,21,1,3,3,14,8,17,13,21,20,3,13,12,9.95
Seattle Mariners,90,162,18,27,26,17,10,16,3,3,20,17,28,16,15,8,17,29,16,11,24,9,12,5,15.77
San Diego Padres,89,162,13,15,9,18,21,12,2,5,9,27,16,8,22,11,5,24,6,9,17,12,7,9,12.59
Philadelphia Phillies,87,162,7,9,18,7,6,7,4,15,13,5,8,9,6,17,14,22,9,14,5,11,10,4,10.00
Milwaukee Brewers,86,162,10,21,20,23,3,10,14,4,27,10,21,14,10,12,3,19,11,5,25,20,3,20,13.86
Tampa Bay Rays,86,162,21,18,5,22,25,21,19,14,19,13,18,20,25,4,10,5,14,8,16,1,15,14,14.86
Baltimore Orioles,83,162,20,20,10,11,16,20,27,17,17,12,20,22,16,18,9,10,7,25,14,7,25,19,16.45
Chicago White Sox,81,162,19,2,12,29,23,19,11,29,7,24,5,18,19,16,6,18,10,15,9,22,8,28,15.86
San Francisco Giants,81,162,11,24,17,20,12,11,16,6,26,22,23,15,14,13,18,1,23,24,1,6,18,26,15.77
Boston Red Sox,78,162,9,3,1,26,20,9,25,16,14,26,3,6,9,25,19,8,17,26,23,21,19,16,15.50
Minnesota Twins,78,162,17,11,14,19,13,15,29,10,12,30,13,11,11,19,29,3,4,13,21,13,20,17,15.64
Arizona Diamondbacks,74,162,14,28,16,12,14,18,17,8,11,7,27,24,20,23,25,11,19,20,26,17,24,18,18.14
Chicago Cubs,74,162,22,19,15,5,17,22,23,12,25,4,19,17,18,20,11,4,12,18,28,25,17,22,17.05
Los Angeles Angels,73,162,25,22,30,6,11,25,18,25,30,19,24,26,17,9,20,20,3,6,11,24,16,15,18.27
Miami Marlins,69,162,28,25,22,15,24,28,13,27,22,2,26,27,28,15,16,12,15,12,18,19,9,3,18.45
Colorado Rockies,68,162,16,7,8,2,22,14,12,22,10,29,7,13,12,30,13,15,26,30,22,23,29,27,17.68
Texas Rangers,68,162,12,17,28,16,8,13,20,21,24,1,17,25,13,22,23,14,18,19,13,27,21,23,17.95
Detroit Tigers,66,162,30,26,25,10,30,30,26,30,21,28,25,29,29,21,21,16,24,17,10,18,27,25,23.55
Kansas City Royals,65,162,24,14,23,1,26,24,22,20,8,6,14,21,23,27,27,7,21,29,19,29,28,13,19.36
Cincinnati Reds,62,162,23,23,24,21,19,23,21,23,23,25,22,23,26,28,28,9,27,22,29,30,11,11,22.32
Pittsburgh Pirates,62,162,27,29,29,8,18,27,28,18,28,14,29,28,27,26,26,2,30,27,8,28,22,30,23.14
Oakland Athletics,60,162,29,30,21,24,27,29,24,28,16,18,30,30,30,24,24,13,25,23,27,16,26,24,24.45
Washington Nationals,55,162,26,12,19,14,28,26,30,26,4,20,11,19,24,29,30,6,28,28,30,26,23,29,22.18
